User ID,Name,Interests,Skills,Location,Experience Level,Preferred Collaboration Topics
1,User_1,"Cloud Computing, Quantum Computing, Computer Vision","Python, Java, SQL, Kubernetes",London,Intermediate,"Teaching, Hackathons"
2,User_2,"Web Development, Cybersecurity, Machine Learning, NLP","Java, JavaScript, C++, Docker",Singapore,Advanced,"Hackathons, AI Research, Freelancing Projects"
3,User_3,"Web Development, Computer Vision, Gaming, Blockchain","CSS, JavaScript, Pandas, React",Sydney,Intermediate,"Building Startups, Writing Tutorials, Open Source Development"
4,User_4,"Gaming, Quantum Computing, Web Development","CSS, Python, Java",Singapore,Beginner,Open Source Development
5,User_5,"Web Development, Gaming, Blockchain, Cybersecurity","SQL, Pandas, Docker, JavaScript, PyTorch",Singapore,Beginner,"Building Startups, AI Research, Writing Tutorials"
6,User_6,"Bioinformatics, Computer Vision, Gaming","AWS, Python, TensorFlow, C++",Toronto,Intermediate,Teaching
7,User_7,"IoT, Machine Learning, Cloud Computing, Gaming","JavaScript, Python, React",San Francisco,Intermediate,"Freelancing Projects, Building Startups"
8,User_8,"NLP, Cloud Computing, Computer Vision","PyTorch, AWS, C++, Kubernetes",New York,Advanced,Building Startups
9,User_9,"NLP, Bioinformatics, Data Science","PyTorch, Java, JavaScript, TensorFlow",Singapore,Intermediate,"Freelancing Projects, Open Source Development"
10,User_10,"Bioinformatics, IoT, Computer Vision, Quantum Computing","SQL, TensorFlow, AWS",Dubai,Intermediate,"Building Startups, Writing Tutorials"
11,User_11,"AR/VR, Cybersecurity, Bioinformatics, Gaming","AWS, Pandas, Python",Toronto,Beginner,Building Startups
12,User_12,"Quantum Computing, Computer Vision, Web Development","TensorFlow, AWS, Pandas, PyTorch",Berlin,Intermediate,Hackathons
13,User_13,"Data Science, NLP, AR/VR","AWS, PyTorch, Python",Mumbai,Advanced,Teaching
14,User_14,"Web Development, NLP","C++, AWS, TensorFlow",San Francisco,Beginner,"Hackathons, Open Source Development, AI Research"
15,User_15,"Data Science, Gaming, Computer Vision","Kubernetes, Docker, JavaScript, TensorFlow",London,Beginner,Freelancing Projects
16,User_16,"NLP, Gaming, IoT","Docker, React, C++",Toronto,Intermediate,"Teaching, Building Startups"
17,User_17,"Blockchain, Data Science, Gaming, IoT","JavaScript, PyTorch, Python, Kubernetes",Mumbai,Intermediate,Open Source Development
18,User_18,"IoT, AR/VR","PyTorch, Python, C++, CSS",Mumbai,Intermediate,"AI Research, Hackathons, Building Startups"
19,User_19,"Data Science, IoT","TensorFlow, Kubernetes, JavaScript, Docker, AWS",Mumbai,Advanced,"Teaching, Freelancing Projects, Writing Tutorials"
20,User_20,"Computer Vision, IoT, Bioinformatics, Data Science","Pandas, Kubernetes, Java, PyTorch, JavaScript",San Francisco,Advanced,"AI Research, Teaching"
21,User_21,"AR/VR, Web Development","Docker, Kubernetes, CSS, JavaScript",London,Intermediate,"Writing Tutorials, Building Startups"
22,User_22,"Cloud Computing, AR/VR, Bioinformatics, NLP","TensorFlow, React, Python",New York,Beginner,"Freelancing Projects, Hackathons"
23,User_23,"AR/VR, Data Science","SQL, Docker, TensorFlow",Mumbai,Intermediate,"Freelancing Projects, Building Startups, AI Research"
24,User_24,"Bioinformatics, AR/VR, Cloud Computing","TensorFlow, JavaScript, React, Java, Python",San Francisco,Beginner,"Hackathons, Building Startups, AI Research"
25,User_25,"AR/VR, Machine Learning","TensorFlow, AWS, Pandas, SQL",Dubai,Advanced,Writing Tutorials
26,User_26,"IoT, Cloud Computing","Python, SQL, CSS, Java, React",Toronto,Advanced,"Open Source Development, Hackathons, Teaching"
27,User_27,"Data Science, Cybersecurity, Blockchain, Bioinformatics","Kubernetes, React, CSS, TensorFlow",Berlin,Intermediate,Open Source Development
28,User_28,"IoT, Bioinformatics","PyTorch, JavaScript, Java",New York,Advanced,"Open Source Development, AI Research, Teaching"
29,User_29,"Cybersecurity, Machine Learning, NLP","TensorFlow, Pandas, Kubernetes",Mumbai,Beginner,Open Source Development
30,User_30,"Quantum Computing, Cloud Computing","AWS, SQL, Pandas",Singapore,Beginner,AI Research
31,User_31,"IoT, NLP","JavaScript, Kubernetes, SQL, React, CSS",Toronto,Intermediate,"Teaching, AI Research"
32,User_32,"IoT, NLP, Web Development","Kubernetes, JavaScript, React, C++",Mumbai,Intermediate,Open Source Development
33,User_33,"AR/VR, Blockchain, Machine Learning, Gaming","Pandas, C++, Java, Docker, CSS",San Francisco,Advanced,"Hackathons, Freelancing Projects"
34,User_34,"Cloud Computing, Quantum Computing, Computer Vision","Pandas, Kubernetes, Python",Toronto,Advanced,Open Source Development
35,User_35,"IoT, Computer Vision, Cybersecurity, Quantum Computing","Kubernetes, TensorFlow, SQL, PyTorch",San Francisco,Beginner,"Building Startups, Teaching, AI Research"
36,User_36,"Data Science, Quantum Computing, AR/VR","Kubernetes, JavaScript, Java, C++, AWS",Tokyo,Beginner,"Writing Tutorials, Freelancing Projects"
37,User_37,"IoT, Quantum Computing, Data Science, Machine Learning","Python, AWS, C++",Mumbai,Advanced,Teaching
38,User_38,"IoT, Data Science, Gaming, Cloud Computing","TensorFlow, Pandas, Docker",London,Intermediate,Freelancing Projects
39,User_39,"Computer Vision, Cloud Computing, Web Development","Docker, CSS, Kubernetes, C++",Dubai,Beginner,"Hackathons, Writing Tutorials"
40,User_40,"Quantum Computing, AR/VR, IoT","JavaScript, Python, Kubernetes, PyTorch, TensorFlow",Sydney,Beginner,Freelancing Projects
41,User_41,"Bioinformatics, AR/VR, Cloud Computing","Kubernetes, Java, SQL, PyTorch",New York,Advanced,Hackathons
42,User_42,"Quantum Computing, Machine Learning, AR/VR","Kubernetes, CSS, SQL, Docker",San Francisco,Intermediate,"Writing Tutorials, Hackathons, AI Research"
43,User_43,"AR/VR, Computer Vision","Java, Python, Kubernetes, C++",Berlin,Beginner,"Writing Tutorials, Hackathons, Open Source Development"
44,User_44,"IoT, Web Development, Machine Learning, Data Science","Pandas, Python, PyTorch",London,Intermediate,"Building Startups, Hackathons, Freelancing Projects"
45,User_45,"Computer Vision, Cloud Computing","AWS, Python, Docker",Singapore,Intermediate,"Writing Tutorials, AI Research"
46,User_46,"Cybersecurity, Quantum Computing","Java, CSS, Docker, AWS",Dubai,Advanced,"Hackathons, Open Source Development, AI Research"
47,User_47,"Web Development, Cybersecurity, Bioinformatics, Gaming","PyTorch, TensorFlow, JavaScript, SQL, Python",Mumbai,Beginner,"Building Startups, Open Source Development"
48,User_48,"Cybersecurity, Web Development","Java, Kubernetes, Pandas",Toronto,Beginner,"Building Startups, Hackathons"
49,User_49,"Bioinformatics, Gaming, Quantum Computing, Machine Learning","React, PyTorch, Python",San Francisco,Intermediate,Open Source Development
50,User_50,"Bioinformatics, Data Science, Machine Learning","Docker, SQL, JavaScript",Dubai,Advanced,"Hackathons, Teaching, Freelancing Projects"
51,User_51,"Data Science, IoT, AR/VR","AWS, PyTorch, JavaScript",Toronto,Advanced,"Teaching, Writing Tutorials, AI Research"
52,User_52,"Bioinformatics, AR/VR, Blockchain, NLP","Kubernetes, SQL, AWS, React, Python",Singapore,Advanced,Hackathons
53,User_53,"Machine Learning, Web Development, Data Science, Bioinformatics","Docker, CSS, Kubernetes, PyTorch",Sydney,Intermediate,Open Source Development
54,User_54,"Computer Vision, NLP, Machine Learning","Pandas, Python, PyTorch",Singapore,Beginner,"AI Research, Hackathons"
55,User_55,"Machine Learning, Blockchain","CSS, SQL, PyTorch",Mumbai,Advanced,"Teaching, Building Startups"
56,User_56,"Data Science, Computer Vision, Cybersecurity, Machine Learning","PyTorch, AWS, CSS, Docker, Kubernetes",Tokyo,Beginner,"Writing Tutorials, Building Startups, Freelancing Projects"
57,User_57,"Blockchain, IoT, Web Development, Quantum Computing","SQL, Kubernetes, Pandas, AWS",Singapore,Beginner,AI Research
58,User_58,"Blockchain, Web Development, Gaming, Computer Vision","Pandas, SQL, AWS, PyTorch",Singapore,Advanced,Writing Tutorials
59,User_59,"Machine Learning, IoT, NLP","SQL, CSS, Kubernetes, Java, PyTorch",Toronto,Intermediate,"Freelancing Projects, AI Research, Building Startups"
60,User_60,"Gaming, Cybersecurity, Machine Learning","AWS, Docker, SQL",Singapore,Beginner,Teaching
61,User_61,"Web Development, NLP","PyTorch, JavaScript, Java, C++",Toronto,Beginner,Building Startups
62,User_62,"IoT, Cloud Computing","SQL, AWS, JavaScript, Python, PyTorch",Berlin,Beginner,"Hackathons, Teaching, Open Source Development"
63,User_63,"AR/VR, Quantum Computing","Python, C++, PyTorch, SQL",Sydney,Beginner,Freelancing Projects
64,User_64,"Bioinformatics, Computer Vision, Gaming","Docker, TensorFlow, JavaScript",London,Advanced,Teaching
65,User_65,"NLP, Cloud Computing, Quantum Computing","CSS, Java, React, Pandas",New York,Advanced,"AI Research, Open Source Development, Writing Tutorials"
66,User_66,"Blockchain, AR/VR, Web Development","PyTorch, Pandas, Python",Singapore,Intermediate,"Hackathons, Teaching, Open Source Development"
67,User_67,"AR/VR, Cybersecurity, Bioinformatics, Machine Learning","PyTorch, C++, Docker, JavaScript",Sydney,Intermediate,"Teaching, AI Research, Open Source Development"
68,User_68,"Data Science, Quantum Computing, Cybersecurity","C++, Python, TensorFlow",Dubai,Advanced,"Writing Tutorials, Teaching"
69,User_69,"Computer Vision, Quantum Computing","Python, React, Java, JavaScript, AWS",Tokyo,Intermediate,Open Source Development
70,User_70,"Cloud Computing, Blockchain","AWS, PyTorch, Pandas, CSS",Berlin,Intermediate,"Teaching, Writing Tutorials"
71,User_71,"Bioinformatics, Gaming","Pandas, Java, Kubernetes, AWS, PyTorch",New York,Beginner,"AI Research, Freelancing Projects, Building Startups"
72,User_72,"Cybersecurity, Blockchain, Bioinformatics, Data Science","C++, CSS, React",Singapore,Advanced,Freelancing Projects
73,User_73,"IoT, Blockchain, NLP","CSS, JavaScript, Java, TensorFlow",Berlin,Intermediate,"Open Source Development, Hackathons, Freelancing Projects"
74,User_74,"Bioinformatics, Machine Learning, Cybersecurity","Java, TensorFlow, SQL, Python",Dubai,Advanced,"Building Startups, Hackathons, Writing Tutorials"
75,User_75,"Data Science, Cybersecurity, Machine Learning, Quantum Computing","JavaScript, Docker, SQL, Kubernetes",Sydney,Beginner,"Open Source Development, AI Research"
76,User_76,"Cybersecurity, Gaming, Quantum Computing","Docker, C++, TensorFlow, AWS, SQL",New York,Intermediate,"Freelancing Projects, Teaching, Writing Tutorials"
77,User_77,"Cloud Computing, Web Development, Cybersecurity","Pandas, AWS, Docker",Singapore,Advanced,"Freelancing Projects, Open Source Development"
78,User_78,"Cybersecurity, Web Development, Machine Learning, Blockchain","Python, PyTorch, Java, JavaScript, Docker",San Francisco,Advanced,"AI Research, Building Startups"
79,User_79,"AR/VR, Blockchain, Quantum Computing, Web Development","JavaScript, PyTorch, SQL, CSS, Python",Tokyo,Advanced,"Teaching, Open Source Development"
80,User_80,"Blockchain, Cybersecurity, Data Science, IoT","React, Kubernetes, Pandas",New York,Intermediate,Teaching
81,User_81,"Blockchain, NLP, Cloud Computing, Computer Vision","TensorFlow, PyTorch, Pandas, JavaScript, Kubernetes",Mumbai,Intermediate,"Writing Tutorials, Building Startups, Teaching"
82,User_82,"NLP, Data Science","AWS, Docker, Java, CSS",Mumbai,Intermediate,Open Source Development
83,User_83,"IoT, Quantum Computing, Cybersecurity, NLP","Java, JavaScript, AWS, SQL",San Francisco,Beginner,"Building Startups, Writing Tutorials"
84,User_84,"Machine Learning, Data Science, AR/VR","Java, JavaScript, Python",Singapore,Advanced,"Hackathons, Teaching"
85,User_85,"Cloud Computing, Web Development, AR/VR","PyTorch, SQL, AWS, Python",Toronto,Beginner,"Teaching, Open Source Development, Hackathons"
86,User_86,"IoT, Computer Vision","CSS, Kubernetes, JavaScript, React",Berlin,Intermediate,"Writing Tutorials, Hackathons, AI Research"
87,User_87,"Blockchain, Gaming, Web Development, Cybersecurity","AWS, CSS, C++, Docker, JavaScript",Sydney,Intermediate,"Hackathons, Teaching"
88,User_88,"Cybersecurity, Blockchain, Web Development, Bioinformatics","Java, SQL, AWS",Singapore,Intermediate,Hackathons
89,User_89,"Data Science, NLP, Computer Vision, Gaming","Pandas, Kubernetes, TensorFlow",Tokyo,Advanced,"Building Startups, Freelancing Projects"
90,User_90,"Bioinformatics, Web Development, Computer Vision","Kubernetes, C++, AWS, JavaScript",New York,Advanced,Teaching
91,User_91,"Machine Learning, Data Science","Java, Kubernetes, Pandas, JavaScript",Mumbai,Beginner,Writing Tutorials
92,User_92,"Computer Vision, Cloud Computing","JavaScript, C++, Java, SQL",Singapore,Advanced,"Open Source Development, Freelancing Projects, Building Startups"
93,User_93,"Cloud Computing, Machine Learning","Kubernetes, Python, Docker",Singapore,Advanced,"Writing Tutorials, Freelancing Projects"
94,User_94,"Web Development, Cloud Computing, Quantum Computing","CSS, JavaScript, Java",Singapore,Intermediate,"Teaching, Freelancing Projects, AI Research"
95,User_95,"Data Science, Machine Learning","Pandas, Python, Kubernetes, Docker",Berlin,Advanced,"Writing Tutorials, Building Startups, Teaching"
96,User_96,"NLP, Web Development, Gaming","Kubernetes, TensorFlow, AWS, Docker",Dubai,Advanced,"AI Research, Freelancing Projects, Writing Tutorials"
